Company,Earnings($B),Share Price,Pct_change,Trend,Country
QUALCOMM,9.33,208.18,2.84,up,USA
Mitsubishi Corporation,9.31,21.28,1.05,up,Japan
HDFC Bank,9.24,60.28,0.26,down,India
Sumitomo Mitsui Financial Group,9.18,13.61,0.51,down,Japan
Aker BP,9.13,24.11,1.66,down,Norway
ASML,9.12,1064.0,1.99,down,Netherlands
AstraZeneca,9.08,78.12,1.41,down,UK
Elevance Health,9.07,530.66,0.91,down,USA
Vinci,9.05,114.63,0.24,down,France
Tesla,8.92,252.64,1.78,up,USA
L'Oréal,8.84,436.66,1.42,down,France
Itaú Unibanco,8.83,6.16,0.48,down,Brazil
Deutsche Bank,8.83,16.57,0.42,down,Germany
New China Life Insurance,8.78,4.18,2.38,down,China
DBS Group,8.78,27.8,1.42,down,Singapore
Anheuser-Busch Inbev,8.75,60.17,2.16,down,Belgium
Phillips 66,8.74,140.07,1.03,up,USA
Sony,8.7,95.63,0.46,down,Japan
IBM,8.7,182.88,0.03,up,USA
Ecopetrol,8.67,11.17,0.18,down,Colombia
Inpex,8.64,15.55,0.82,up,Japan
Lloyds Banking Group,8.61,3.01,0.33,down,UK
Linde,8.56,438.18,0.57,down,UK
Energy Transfer Partners,8.54,16.39,0.86,up,USA
Applied Materials,8.51,245.55,0.88,up,USA
China Communications Construction,8.47,1.15,0.24,down,China
Union Pacific Corporation,8.23,235.99,2.51,up,USA
CATL,8.21,24.68,0.66,up,China
Suncor Energy,8.12,38.86,1.54,up,Canada
Netflix,8.09,656.45,1.37,up,USA
Duke Energy,8.08,105.32,0.07,down,USA
Unilever,8.07,56.96,1.13,down,UK
Honeywell,8.06,215.72,0.28,up,USA
Ping An Bank,8.05,1.42,0.29,down,China
China Resources Land,8.04,3.4,1.85,down,Hong Kong
Lockheed Martin,7.93,463.88,0.03,up,USA
Emirates NBD Bank PJSC,7.88,4.63,0.0,up,UAE
BlackRock,7.83,822.96,0.61,down,USA
Barclays,7.79,11.74,1.21,up,UK
Cheniere Energy,7.77,177.66,0.06,up,USA
CaixaBank,7.76,5.71,0.04,up,Spain
PTT PCL,7.75,0.89,2.29,down,Thailand
British American Tobacco,7.61,32.2,1.26,down,UK
Inditex,7.59,25.1,2.18,down,Spain
Porsche,7.58,77.97,5.02,down,Germany
United Parcel Service,7.58,144.15,1.26,up,USA
Tata Consultancy Services,7.56,50.02,0.22,up,India
Progressive,7.56,217.1,1.78,up,USA
Eli Lilly,7.56,950.46,0.22,up,USA
Munich RE (Münchener Rück),7.53,496.35,2.02,down,Germany
AbbVie,7.53,168.03,0.41,down,USA
KKR & Co.,7.5,114.96,3.81,up,USA
Itōchū Shōji,7.48,50.84,1.04,up,Japan
AXA,7.36,34.71,1.06,down,France
Sanofi,7.26,50.15,2.3,down,France
Texas Instruments,7.16,201.76,0.05,down,USA
Nordea Bank,7.15,11.49,0.28,down,Finland
NatWest Group,7.13,8.46,0.7,down,UK
Scotiabank,7.1,47.15,0.19,up,Canada
ENGIE,7.09,15.09,0.43,down,France
Canadian Natural Resources,6.93,36.69,3.26,up,Canada
Interactive Brokers,6.91,124.66,2.51,up,USA
DHL Group (Deutsche Post),6.9,44.17,0.86,down,Germany
KDDI,6.89,28.44,0.44,down,Japan
Fortescue,6.88,15.24,0.49,up,Australia
GlaxoSmithKline,6.88,38.67,1.25,down,UK
China Everbright Bank,6.85,0.46,0.6,up,China
FedEx,6.81,305.02,2.01,up,USA
National Australia Bank,6.72,25.22,0.35,up,Australia
Occidental Petroleum,6.69,62.0,1.31,up,USA
General Electric,6.69,159.56,0.35,up,USA
CK Hutchison Holdings,6.65,5.12,0.5,down,Hong Kong
Longfor Group,6.64,1.39,1.27,down,China
Mizuho Financial Group,6.58,4.33,0.23,down,Japan
D. R. Horton,6.57,152.16,1.03,down,USA
Adobe,6.57,565.71,1.19,up,USA
Repsol,6.55,14.58,2.09,down,Spain
Volvo Group,6.55,25.99,0.0,up,Sweden
Abbott Laboratories,6.53,102.96,0.68,down,USA
Thermo Fisher Scientific,6.52,544.68,0.62,down,USA
Foxconn (Hon Hai Precision Industry),6.5,6.54,1.62,down,Taiwan
Salesforce,6.49,252.86,0.44,down,USA
Delta Air Lines,6.48,43.0,1.42,down,USA
ANZ Bank,6.48,20.1,0.17,down,Australia
Capital One,6.46,144.61,4.48,up,USA
Hermès,6.45,2278.0,1.14,down,France
Walt Disney,6.43,96.87,0.27,down,USA
U.S. Bancorp,6.37,42.35,0.59,up,USA
Airbus,6.37,144.66,0.23,down,Netherlands
PNC Financial Services,6.34,169.02,1.23,up,USA
Mondelez,6.33,64.35,1.55,down,USA
OCBC Bank,6.31,11.27,1.24,down,Singapore
Nucor,6.24,164.87,2.34,up,USA
Indian Oil,6.22,2.04,0.61,up,India
Prosus,6.21,36.05,1.71,down,Netherlands
Hitachi,6.14,23.9,2.3,up,Japan
Freeport-McMoRan,6.14,50.42,1.39,down,USA
American International Group,6.14,77.62,0.62,up,USA
Wuliangye Yibin,6.12,17.54,0.02,down,China
Booking Holdings (Booking.com),6.11,4088.0,1.53,up,USA
Aflac,6.09,93.37,0.79,up,USA
Grupo México,6.07,6.34,0.0,up,Mexico
Charles Schwab,6.06,75.07,0.41,down,USA
The Saudi National Bank,6.04,10.03,2.04,up,S. Arabia
Starbucks,5.99,72.75,2.78,down,USA
Nike,5.98,71.31,2.87,down,USA
Apollo Global Management,5.98,122.5,1.63,up,USA
Coal India,5.98,6.13,2.95,up,India
Schlumberger,5.97,47.96,3.32,up,USA
Schneider Electric,5.97,251.34,0.58,down,France
QNB (Qatar National Bank),5.93,4.16,0.33,down,Qatar
Bank of Montreal,5.93,86.72,0.09,up,Canada
Paccar,5.91,104.55,1.4,up,USA
CIBC,5.9,49.88,2.99,up,Canada
Daimler Truck,5.79,41.08,1.15,down,Germany
Shanghai Pudong Development Bank,5.78,1.22,0.23,down,China
America Movil,5.77,18.15,1.09,down,Mexico
Enterprise Products,5.77,29.6,0.68,up,USA
Midea,5.75,8.85,1.03,down,China
Zurich Insurance Group,5.74,528.54,1.48,down,Switzerland
ICICI Bank,5.68,29.17,0.03,down,India
Porsche SE,5.67,46.74,1.24,down,Germany
3i Group,5.66,39.71,0.16,down,UK
Tokio Marine,5.63,39.49,1.21,up,Japan
China Railway Group,5.59,0.52,1.46,down,China
TJX Companies,5.59,113.81,0.43,down,USA
Enbridge,5.58,35.79,0.86,down,Canada
Koç Holding,5.58,7.0,0.7,up,Turkey
Raytheon Technologies,5.57,101.62,0.34,up,USA
BYD,5.56,35.64,1.04,down,China
Medtronic,5.55,77.08,1.12,down,Ireland
China Telecom,5.55,0.64,1.02,up,China
PayPal,5.54,60.47,0.33,up,USA
PKN Orlen,5.52,16.59,3.33,down,Poland
Yankuang Energy (Yanzhou Coal Mining),5.5,2.16,0.38,up,China
Danone,5.5,63.45,0.27,down,France
Compagnie Financière Richemont,5.5,154.24,0.8,up,Switzerland
Erste Group Bank,5.48,50.71,0.5,up,Austria
Bank of Jiangsu,5.48,1.08,0.25,down,China
Nippon Steel,5.47,21.59,0.93,down,Japan
Shin-Etsu Chemical,5.46,42.34,1.3,up,Japan
Lennar,5.45,159.18,0.44,down,USA
China Railway Construction,5.42,1.15,0.84,up,China
Cigna,5.4,331.42,1.01,down,USA
Dell,5.38,137.22,1.68,down,USA
Target,5.31,151.3,1.01,down,USA
Williams Companies,5.31,42.56,0.98,down,USA
Société Générale,5.3,25.3,1.4,down,France
Canadian National Railway,5.29,121.58,1.13,up,Canada
OMV,5.27,42.41,1.77,down,Austria
Kering,5.24,338.11,3.47,down,France
Marsh & McLennan Companies,5.23,218.47,0.05,up,USA
China Overseas Land & Investment,5.22,1.7,1.34,down,Hong Kong
Tenet Healthcare,5.21,131.42,2.21,down,USA
Standard Chartered,5.19,9.37,0.66,down,UK
United Airlines Holdings,5.19,44.32,0.89,down,USA
Fairfax Financial,5.19,1157.0,0.11,up,Canada
Zijin Mining,5.11,2.64,2.07,up,China
Merck,5.11,128.12,0.28,up,USA
China Minsheng Bank,5.07,0.52,0.27,up,China
Gree Electric Appliances,5.07,5.3,0.39,down,China
LG Electronics,5.03,81.03,1.91,up,S. Korea
Al Rajhi Bank,5.02,22.15,0.24,up,S. Arabia
Jingdong Mall,4.97,26.65,5.33,down,China
Bank Rakyat Indonesia,4.97,0.29,1.87,down,Indonesia
TC Energy,4.96,39.17,0.41,up,Canada
Japan Tobacco,4.95,27.61,0.09,up,Japan
Hua Xia Bank,4.95,0.9,0.3,down,China
MPLX,4.94,42.36,1.07,up,USA
SAP,4.93,203.51,0.78,down,Germany
Bank Mandiri,4.86,0.39,0.0,up,Indonesia
RWE,4.85,35.53,0.43,down,Germany
ABB,4.84,57.59,0.23,down,Switzerland
Traton,4.84,33.25,1.61,down,Germany
Vertex Pharmaceuticals,4.81,490.85,0.43,up,USA
Danaher,4.8,246.23,0.19,down,USA
DNB,4.79,20.09,0.23,down,Norway
Bajaj Finserv,4.79,19.27,0.46,up,India
Automatic Data Processing,4.78,242.64,1.94,up,USA
CSX Corporation,4.77,34.6,2.4,up,USA
Southern Company,4.74,80.05,0.08,up,USA
Imperial Oil,4.73,71.41,1.38,up,Canada
Ford,4.71,14.23,1.43,up,USA
Macquarie,4.69,138.12,0.17,up,Australia
Nintendo,4.67,55.71,1.02,down,Japan
The People's Insurance Company (PICC),4.66,0.73,0.56,down,China
Air Liquide,4.59,177.52,0.2,down,France
Nissan,4.58,3.5,0.5,down,Japan
Blackstone Group,4.57,132.37,2.36,up,USA
Skandinaviska Enskilda Banken,4.57,15.23,3.59,up,Sweden
China Yangtze Power,4.56,4.24,1.22,up,China
Walmex,4.56,3.85,0.0,up,Mexico
AIA,4.56,6.87,3.25,down,Hong Kong
NTPC Limited,4.54,4.55,1.35,down,India
Generali,4.54,25.41,0.38,down,Italy
Devon Energy,4.53,48.05,3.38,up,USA
Diamondback Energy,4.5,210.93,3.31,up,USA
COSCO Shipping,4.49,1.85,0.07,down,China
Infosys,4.49,20.31,0.44,down,India
Bank of China (Hong Kong),4.48,2.92,1.94,down,Hong Kong
General Dynamics,4.48,285.42,0.54,up,USA
BT Group,4.47,1.79,0.72,down,UK
Manulife Financial,4.47,27.08,0.22,down,Canada
Cenovus Energy,4.46,20.65,3.77,up,Canada
Archer Daniels Midland (ADM),4.44,63.4,1.37,down,USA
Emaar Properties,4.43,2.21,0.12,up,UAE
Shinhan Financial Group,4.42,37.13,1.38,down,S. Korea
Exelon Corporation,4.4,35.35,0.31,up,USA
Centene,4.4,66.0,2.74,down,USA
Bharat Petroleum,4.37,3.78,2.66,up,India
Swiss Re,4.37,120.75,2.48,down,Switzerland
Life Insurance Corporation of India (LIC),4.35,13.27,4.54,up,India
Saudi Telecom Company,4.35,10.38,0.0,up,S. Arabia
Amgen,4.34,330.15,0.21,down,USA
PTT Exploration and Production,4.34,4.04,2.34,down,Thailand
KEPCO,4.33,16.98,0.24,up,Japan
Banorte,4.31,8.34,1.1,down,Mexico
Vanke,4.31,0.59,0.64,down,China
Ameriprise Financial,4.29,445.8,0.11,down,USA
Roivant Sciences,4.28,11.5,1.32,up,UK
Japan Post Holdings,4.28,10.63,1.48,up,Japan
Prologis,4.27,121.14,0.82,up,USA
CME Group,4.26,197.01,1.85,up,USA
ČEZ Group,4.26,39.04,0.11,down,Czech Republic
S&P Global,4.26,482.55,0.88,up,USA
Illinois Tool Works,4.25,246.73,0.33,up,USA
Kinder Morgan,4.24,20.17,0.1,down,USA
Axis Bank,4.24,15.61,0.28,down,India
Sumitomo,4.22,25.65,1.6,up,Japan
Compagnie de Saint-Gobain,4.21,85.86,0.23,up,France
Fomento Económico Mexicano,4.2,115.61,1.61,down,Mexico
STMicroelectronics,4.2,42.13,1.27,down,Switzerland
The Travelers Companies,4.19,213.4,0.85,up,USA
Swedbank,4.19,20.23,0.92,down,Sweden
BNY Mellon (Bank of New York Mellon),4.17,65.71,1.58,up,USA
KB Financial Group,4.15,61.16,1.43,down,S. Korea
KBC,4.1,72.5,0.0,up,Belgium
Fiserv,4.09,155.39,1.43,up,USA
Subaru,4.09,21.35,0.27,down,Japan
GarantiBank,4.09,4.06,1.36,up,Turkey
Jackson Financial,4.08,81.06,4.03,up,USA
Lam Research,4.06,1069.0,0.07,down,USA
Eaton,4.06,327.03,1.04,down,Ireland
ABN AMRO,4.05,17.2,0.69,down,Netherlands
Power Finance Corp,4.04,6.58,1.51,down,India
Tenaris,4.04,31.63,1.35,up,Luxembourg
Regeneron Pharmaceuticals,4.04,1082.0,1.63,down,USA
Power Corporation of Canada,4.02,29.09,0.2,down,Canada
MetLife,4.0,74.43,1.42,up,USA
Bank of Ningbo,3.99,3.02,0.99,down,China
Simon Property Group,3.96,150.06,0.39,up,USA
Intuit,3.96,658.18,2.53,up,USA
Halliburton,3.96,35.23,3.8,up,USA
Danske Bank,3.95,29.29,0.85,down,Denmark
Bank of Beijing,3.95,0.78,0.35,down,China
Bank Central Asia,3.95,0.62,1.0,down,Indonesia
Raiffeisen Bank International,3.93,18.78,0.46,down,Austria
Komatsu,3.92,30.85,2.99,up,Japan
Türkiye Is Bankasi,3.92,0.52,1.29,up,Turkey
NetEase,3.91,93.74,0.93,up,China
Stryker Corporation,3.91,328.56,3.19,down,USA
HP,3.9,37.34,1.66,up,USA
Commerzbank,3.89,15.75,0.49,up,Germany
