Company,Market cap($B),Share Price,Pct_change,Trend,Country
SK Hynix,116.08,168.58,1.3,up,S. Korea
KLA,115.53,858.12,0.05,up,USA
CM Bank,115.06,4.42,1.43,down,China
Boston Scientific,114.7,78.02,0.42,up,USA
Airbus,114.41,144.66,0.23,down,Netherlands
Keyence,113.8,469.26,0.12,up,Japan
Arista Networks,112.94,360.42,0.41,down,USA
Prologis,112.15,121.14,0.82,up,USA
Allianz,112.02,286.17,1.02,down,Germany
China Shenhua Energy,111.43,5.84,0.05,up,China
Hitachi,110.5,23.9,2.3,up,Japan
Palo Alto Networks,110.38,340.91,1.31,up,USA
Lockheed Martin,110.37,463.88,0.03,up,USA
Rio Tinto,110.36,67.55,1.42,down,UK
Boeing,109.95,179.11,1.76,down,USA
CATL,108.54,24.68,0.66,up,China
Marsh & McLennan Companies,107.64,218.47,0.05,up,USA
Nike,107.63,71.31,2.87,down,USA
ABB,106.43,57.59,0.23,down,Switzerland
KKR & Co.,105.98,114.96,3.81,up,USA
SoftBank,105.73,72.13,0.26,up,Japan
Chubb,105.65,260.2,0.72,up,Switzerland
Tokyo Electron,104.93,227.78,1.06,up,Japan
Bharti Airtel,104.83,17.55,2.01,up,India
China Yangtze Power,103.72,4.24,1.22,up,China
ICICI Bank,103.62,29.17,0.03,down,India
Deere & Company,102.42,371.67,1.74,up,USA
Air Liquide,102.3,177.52,0.2,down,France
Sinopec,102.28,0.89,2.2,up,China
Toronto Dominion Bank,100.9,57.25,0.88,up,Canada
CSL,100.39,207.74,0.23,down,Australia
China Life Insurance,99.8,4.29,0.86,down,China
UBS,99.75,31.07,0.54,down,Switzerland
Automatic Data Processing,99.31,242.64,1.94,up,USA
Medtronic,98.83,77.08,1.12,down,Ireland
BYD,98.47,35.64,1.04,down,China
EssilorLuxottica,98.36,215.9,0.78,down,France
Petrobras,98.0,15.2,0.73,up,Brazil
American Tower,97.52,208.84,0.84,down,USA
Dell,97.05,137.22,1.68,down,USA
BP,96.98,35.03,0.45,down,UK
Blackstone Group,95.57,132.37,2.36,up,USA
Synopsys,94.38,616.01,0.32,up,USA
Ping An Insurance,94.25,5.67,3.15,down,China
Cigna,94.14,331.42,1.01,down,USA
State Bank of India,94.08,10.54,0.07,down,India
