Company,Market cap($B),Share Price,Pct_change,Trend,Country
Anglo American,36.54,30.14,1.69,down,UK
HP,36.53,37.34,1.66,up,USA
Arch Capital,36.48,97.16,0.68,up,Bermuda
Nasdaq,36.32,63.0,0.48,up,USA
Estee Lauder,36.22,101.04,2.24,down,USA
Maybank,36.2,6.0,2.44,down,Malaysia
Naspers,36.18,39.64,3.03,down,South Africa
Exor,36.11,106.34,0.31,down,Netherlands
Yum! Brands,36.01,127.89,2.6,down,USA
Cognizant Technology Solutions,36.01,72.43,1.26,up,USA
Jiangsu Hengrui Medicine,35.95,5.64,0.42,up,China
Baker Hughes,35.87,35.71,3.51,up,USA
WEG ON,35.86,8.55,1.37,up,Brazil
Partners Group,35.82,1379.0,0.68,down,Switzerland
Extra Space Storage,35.8,162.4,0.3,up,USA
Shanghai Pudong Development Bank,35.79,1.22,0.23,down,China
Sysco,35.75,71.8,0.51,down,USA
lululemon athletica,35.46,283.72,2.52,down,Canada
Capgemini,35.45,209.15,0.03,down,France
Japan Post Bank,35.44,9.8,0.94,up,Japan
Exelon Corporation,35.35,35.35,0.31,up,USA
Wanhua Chemical,35.33,11.25,0.21,up,China
Gartner,35.32,455.02,0.08,down,USA
CITIC Securities,35.28,2.58,1.46,up,China
NatWest Group,35.22,8.46,0.7,down,UK
Centene,35.22,66.0,2.74,down,USA
General Mills,35.08,62.86,0.27,down,USA
Swiss Re,35.06,120.75,2.48,down,Switzerland
DSV,35.06,168.65,0.83,down,Denmark
Wipro,34.98,6.68,0.6,down,India
Kia,34.84,88.92,2.42,up,S. Korea
Kenvue,34.67,18.11,1.25,down,USA
E.ON,34.62,13.26,0.94,down,Germany
Henkel,34.55,88.3,0.59,down,Germany
Coca-Cola European Partners,34.43,72.99,1.5,down,UK
Pernod Ricard,34.4,136.92,1.1,down,France
Discover Financial Services,34.34,137.06,4.4,up,USA
Titan Company,34.34,38.71,0.31,up,India
Martin Marietta,34.3,556.57,0.37,up,USA
Kühne + Nagel,34.27,289.72,1.09,up,Switzerland
Asian Paints,34.13,35.61,0.61,up,India
Muyuan Foods,34.07,6.23,1.41,up,China
Thales,33.93,165.21,1.11,down,France
Novatek,33.84,11.47,0.83,up,Russia
Baidu,33.75,93.15,5.98,down,China
Japan Post Holdings,33.71,10.63,1.48,up,Japan
Ambev,33.65,2.14,0.47,down,Brazil
Beiersdorf,33.61,148.21,0.69,down,Germany
Vulcan Materials,33.57,253.9,0.55,up,USA
Dupont De Nemours,33.53,80.2,0.84,down,USA
China Pacific Insurance,33.52,3.89,0.39,up,China
Hindustan Zinc,33.48,7.93,0.36,up,India
Adani Green Energy,33.37,21.07,1.08,up,India
Xylem,33.28,137.3,0.81,down,USA
Indian Railway Finance,33.18,2.54,1.95,down,India
SMC corp,33.06,515.54,0.42,up,Japan
Daimler Truck,33.04,41.08,1.15,down,Germany
Assa Abloy,32.9,27.97,6.54,up,Sweden
Vertiv Holdings,32.9,87.89,1.99,down,USA
Adani Power,32.89,8.53,0.55,up,India
Delta Electronics,32.89,12.66,0.6,down,Taiwan
ON Semiconductor,32.85,76.37,0.65,down,USA
Deutsche Bank,32.78,16.57,0.42,down,Germany
Garmin,32.67,170.12,0.78,up,Switzerland
Restaurant Brands International,32.62,72.37,0.77,down,Canada
Rockwell Automation,32.51,285.2,0.65,up,USA
Bajaj Auto,32.48,116.33,0.47,up,India
Alnylam Pharmaceuticals,32.4,256.18,1.66,down,USA
Trip.com,32.38,47.79,4.93,down,China
Barrick Gold,32.31,18.36,0.86,down,Canada
Delta Electronics (Thailand),32.3,2.59,3.89,up,Thailand
Biogen,32.26,221.58,3.69,down,USA
Invest Bank,32.24,0.12,0.0,up,UAE
Marubeni,32.24,19.41,2.57,up,Japan
Howmet Aerospace,32.2,78.9,0.42,down,USA
Gazprom,32.16,1.36,0.83,up,Russia
Haier Smart Home,32.03,3.68,0.45,up,China
Equifax,32.01,258.97,0.39,up,USA
Siemens India,31.83,89.4,2.24,down,India
VICI Properties,31.59,30.29,2.85,up,USA
Aena,31.52,210.18,0.46,down,Spain
Las Vegas Sands,31.47,42.25,1.12,down,USA
Dubai Electricity and Water Authority (DEWA),31.44,0.63,0.0,up,UAE
Archer Daniels Midland (ADM),31.34,63.4,1.37,down,USA
DSM-Firmenich,31.32,118.06,0.28,up,Switzerland
CDW Corporation,31.28,232.77,1.87,up,USA
Consolidated Edison,31.21,90.26,2.09,down,USA
Intact Financial,31.18,174.93,0.66,up,Canada
Halliburton,31.18,35.23,3.8,up,USA
LyondellBasell,31.14,95.65,0.62,up,USA
CoStar Group,31.05,76.01,0.29,up,USA
Sumitomo,31.02,25.65,1.6,up,Japan
Zscaler,30.9,204.47,1.27,up,USA
Bank of China (Hong Kong),30.88,2.92,1.94,down,Hong Kong
QNB Finansbank,30.87,9.22,0.91,up,Turkey
Fujitsu,30.86,16.78,2.59,up,Japan
Alpha Dhabi,30.82,3.08,0.18,up,UAE
China State Construction Engineering,30.76,0.74,0.56,down,China
Hannover Rück,30.75,254.99,2.3,down,Germany
Bajaj Finserv,30.73,19.27,0.46,up,India
PPG Industries,30.69,130.88,0.2,up,USA
Advantest,30.43,41.21,1.05,up,Japan
The Hartford,30.36,102.68,0.91,up,USA
Swisscom,30.3,585.03,0.38,down,Switzerland
Hexagon,30.25,11.45,0.0,up,Sweden
Ferrovial,30.23,41.6,0.37,down,Spain
GlobalFoundries,30.19,54.72,0.44,up,USA
ResMed,30.16,205.31,0.23,up,USA
Devon Energy,30.15,48.05,3.38,up,USA
Nestlé India,30.09,31.21,0.08,up,India
Veeva Systems,30.02,185.74,1.16,down,USA
Vistra,29.94,86.19,5.63,down,USA
DNB,29.92,20.09,0.23,down,Norway
Ashtead,29.92,68.57,1.16,down,UK
BCE,29.88,32.7,0.71,up,Canada
Telstra,29.86,2.58,0.26,down,Australia
Gree Electric Appliances,29.82,5.3,0.39,down,China
Targa Resources,29.78,134.34,0.53,down,USA
Hapag-Lloyd,29.69,168.97,5.01,up,Germany
Xcel Energy,29.57,53.23,1.93,down,USA
Amadeus IT Group,29.53,67.83,1.36,down,Spain
Cathay Financial Holding,29.45,2.01,0.62,up,Taiwan
UCB,29.43,155.13,1.15,down,Belgium
CBRE Group,29.4,95.85,1.27,up,USA
Ahold Delhaize,29.36,31.34,0.63,up,Netherlands
Sun Life Financial,29.24,50.46,0.36,up,Canada
7-Eleven,29.24,11.27,1.57,down,Japan
Emirates NBD Bank PJSC,29.23,4.63,0.0,up,UAE
Tractor Supply,29.19,270.84,0.08,down,USA
BTG Pactual,29.19,2.87,0.45,up,Brazil
Fujifilm,29.1,24.17,0.5,up,Japan
Mettler-Toledo,29.01,1359.0,0.05,down,USA
The People's Insurance Company (PICC),28.98,0.73,0.56,down,China
Wabtec,28.95,164.16,0.79,up,USA
Rocket Companies,28.93,14.56,1.61,up,USA
AppLovin,28.93,87.93,3.62,up,USA
Orange,28.89,10.87,0.37,up,France
AvalonBay Communities,28.89,203.21,0.64,up,USA
Indian Oil,28.86,2.04,0.61,up,India
KBC,28.85,72.5,0.0,up,Belgium
Novozymes,28.84,62.16,0.97,down,Denmark
Komatsu,28.82,30.85,2.99,up,Japan
China Unicom,28.81,0.94,0.0,up,Hong Kong
National Bank of Canada,28.79,82.53,0.68,down,Canada
Iron Mountain,28.67,97.83,2.02,up,USA
Ansys,28.58,327.46,0.58,down,USA
MicroStrategy,28.57,1611.0,15.36,up,USA
Bharat Electronics,28.53,3.9,1.58,down,India
Tesco,28.52,4.16,0.0,up,UK
Woolworths Group,28.47,23.31,0.55,up,Australia
Chunghwa Telecom,28.45,36.4,0.3,down,Taiwan
Cloudflare,28.34,83.43,1.48,up,USA
Celltrion,28.33,136.52,0.0,up,S. Korea
COSCO Shipping,28.31,1.85,0.07,down,China
Banco do Brasil,28.27,4.95,0.45,up,Brazil
Pinterest,28.25,41.36,0.17,up,USA
ICON plc,28.21,340.86,1.44,up,Ireland
Edison International,28.1,73.05,2.39,down,USA
CRRC,28.09,0.62,1.42,down,China
Coloplast,28.05,124.69,1.73,down,Denmark
Dollar General,27.91,126.96,4.12,down,USA
Luzhou Laojiao,27.87,18.93,0.53,down,China
Argenx,27.86,461.94,0.96,down,Netherlands
Hewlett Packard Enterprise,27.86,21.44,1.28,up,USA
Chocoladefabriken Lindt & Sprüngli,27.84,11890.0,0.0,up,Switzerland
Bayer,27.8,28.3,1.61,down,Germany
Verbund AG,27.79,81.38,2.29,down,Austria
Delta Air Lines,27.75,43.0,1.42,down,USA
Ping An Bank,27.5,1.42,0.29,down,China
Dai-ichi Life Holdings,27.43,29.31,2.18,up,Japan
Great-West Lifeco,27.33,29.31,0.02,up,Canada
Canon,27.29,28.28,1.75,up,Japan
HEICO,27.27,225.17,0.51,down,USA
JSW Steel,27.25,11.18,0.28,up,India
Fanuc,27.23,28.8,2.7,up,Japan
Schindler Group,27.2,251.76,0.22,down,Switzerland
Legrand,27.17,103.67,0.48,down,France
SMIC,27.11,2.32,0.33,down,China
CITIC limited,27.09,0.93,1.09,down,China
Mitsui Fudosan,27.08,9.67,0.39,down,Japan
Michelin,27.06,37.95,0.66,down,France
Fairfax Financial,27.02,1157.0,0.11,up,Canada
Wheaton Precious Metals,27.01,59.49,0.17,down,Canada
Transurban,27.0,8.73,0.31,up,Australia
eBay,26.96,53.72,0.87,down,USA
Willis Towers Watson,26.92,263.33,0.33,down,UK
Antofagasta,26.88,27.27,1.96,down,UK
Fortive,26.83,76.23,0.85,up,USA
NetApp,26.83,130.38,0.16,up,USA
Take 2 Interactive,26.82,153.31,0.03,down,USA
TDK,26.81,70.68,5.41,up,Japan
Dollarama,26.74,94.23,0.15,down,Canada
Ryanair,26.73,118.55,0.78,down,Ireland
Publicis Groupe,26.7,107.03,0.51,down,France
Dr. Sulaiman Al Habib Medical Services Group Company,26.69,76.26,0.63,up,S. Arabia
Toyota Industries,26.65,85.86,0.04,down,Japan
Fifth Third Bank,26.64,39.16,1.77,up,USA
Snap,26.6,16.21,0.19,up,USA
ORIX,26.59,115.8,0.42,down,Japan
Brown & Brown,26.59,93.23,0.54,down,USA
Bridgestone,26.58,38.83,1.39,down,Japan
American Water Works,26.56,136.33,1.98,down,USA
T. Rowe Price,26.51,118.74,0.61,up,USA
Anta Sports,26.51,9.43,0.94,down,China
Great Wall Motors,26.46,3.66,1.41,up,China
RWE,26.42,35.53,0.43,down,Germany
M&T Bank,26.42,158.36,2.03,up,USA
Roblox,26.3,41.11,1.43,up,USA
KONE,26.26,50.76,0.66,down,Finland
Kaspi.kz Joint Stock Company,26.24,136.27,3.31,up,Kazakhstan
Foshan Haitian Flavouring and Food,26.21,4.71,0.26,down,China
Jio Financial Services,26.18,4.12,3.14,down,India
Sun Hung Kai Properties,26.14,9.02,2.29,down,Hong Kong
Jardine Matheson,26.13,36.25,0.83,up,Hong Kong
Blue Owl Capital,26.0,17.81,0.62,up,USA
H&M,26.0,16.14,0.78,down,Sweden
Teck Resources,25.96,50.0,1.54,down,Canada
Prudential,25.95,18.66,2.66,down,UK
Terumo,25.86,17.42,1.19,up,Japan
Kuaishou Technology,25.83,5.93,3.24,down,China
Equity Residential,25.74,67.93,1.1,up,USA
Freddie Mac,25.73,7.99,13.66,up,USA
Western Digital,25.73,78.82,0.06,up,USA
Sandvik,25.61,20.42,0.64,down,Sweden
First Citizens BancShares,25.61,1776.0,1.53,up,USA
SSE,25.58,23.54,0.33,down,UK
Vonovia,25.56,31.07,0.49,down,Germany
Tencent Music,25.5,14.86,1.78,down,China
Dover,25.42,184.99,0.25,up,USA
Keysight,25.4,145.53,2.41,up,USA
Global Payments,25.39,99.5,2.1,up,USA
China Everbright Bank,25.39,0.46,0.6,up,China
ASE Group,25.37,11.75,1.26,down,Taiwan
PTT PCL,25.31,0.89,2.29,down,Thailand
Cellnex Telecom,25.28,35.84,0.27,up,Spain
NVR,25.27,8069.0,0.08,up,USA
WEC Energy Group,25.14,79.61,1.46,down,USA
Raymond James,25.1,121.11,0.04,up,USA
Nidec,25.09,43.64,1.61,down,Japan
Philips,25.07,26.0,2.55,down,Netherlands
Maersk,25.04,1606.0,1.01,up,Denmark
DLF,25.0,10.1,1.25,up,India
"Cheniere Energy
Partners",24.99,51.63,0.5,down,USA
Tata Steel,24.96,2.0,0.19,up,India
Teradyne,24.89,159.49,2.02,up,USA
Varun Beverages,24.87,19.14,1.77,down,India
Danske Bank,24.84,29.29,0.85,down,Denmark
Nutrien,24.77,50.01,0.66,up,Canada
Church & Dwight,24.74,101.18,2.87,down,USA
Banco Bradesco,24.61,2.32,0.85,down,Brazil
Broadridge Financial Solutions,24.59,208.14,1.31,up,USA
International Flavors & Fragrances,24.56,96.2,2.16,down,USA
Franco-Nevada,24.53,127.31,1.39,down,Canada
Telefónica,24.53,4.35,1.36,down,Spain
PulteGroup,24.45,116.24,0.08,down,USA
FirstRand,24.38,4.35,1.41,down,South Africa
Otsuka Holdings,24.37,44.92,0.24,down,Japan
Hang Seng Bank,24.32,12.86,0.69,down,Hong Kong
Vodafone,24.27,9.03,1.2,down,UK
China Resources Land,24.25,3.4,1.85,down,Hong Kong
Veralto,24.19,98.01,0.76,down,USA
Rheinmetall,24.14,555.11,1.01,down,Germany
HubSpot,24.04,471.89,0.89,down,USA
Banorte,24.03,8.34,1.1,down,Mexico
Trent Limited,24.03,67.6,0.5,down,India
Carnival Corporation,24.0,18.32,0.49,up,USA
CGI,24.0,104.93,0.9,down,Canada
Ørsted,23.78,56.6,0.0,up,Denmark
State Street Corporation,23.78,78.94,0.48,up,USA
Associated British Foods,23.71,31.98,0.2,down,UK
KB Financial Group,23.68,61.16,1.43,down,S. Korea
National Bank of Kuwait,23.64,2840.0,0.12,down,Kuwait
Standard Chartered,23.64,9.37,0.66,down,UK
Klabin,23.63,3.91,1.53,up,Brazil
Epiroc,23.58,20.06,0.51,down,Sweden
West Pharmaceutical,23.43,320.11,0.89,down,USA
Rollins,23.41,48.32,2.21,down,USA
DTE Energy,23.41,113.13,1.18,down,USA
Axon Enterprise,23.29,308.64,5.46,up,USA
Tradeweb,23.24,106.65,1.63,up,USA
Evolution Gaming,23.22,110.07,0.26,up,Sweden
Symbotic,23.16,39.63,3.2,up,USA
Siemens Energy,23.16,29.01,1.95,up,Germany
SAIC Motor,23.13,2.0,2.04,up,China
CTBC Financial Holding,23.07,1.15,0.8,down,Taiwan
Suzuki Motor,23.05,11.95,0.66,up,Japan
Airports of Thailand,23.05,1.61,0.85,down,Thailand
S.F. Express,23.01,4.78,0.06,up,China
Ecopetrol,22.96,11.17,0.18,down,Colombia
Grasim Industries,22.96,33.84,0.84,up,India
Telus,22.94,15.51,0.19,down,Canada
Vestas Wind Systems,22.93,22.73,1.27,down,Denmark
NEC Corp,22.9,85.95,3.03,up,Japan
Deckers Brands,22.88,899.58,0.17,up,USA
Seagate Technology,22.87,108.94,1.72,up,Ireland
First Solar,22.84,213.42,8.5,down,USA
Cardinal Health,22.83,93.74,0.38,down,USA
Entergy,22.81,106.83,2.14,down,USA
China Tower,22.77,0.13,1.94,down,China
Live Nation,22.76,98.38,0.45,up,USA
Swedbank,22.76,20.23,0.92,down,Sweden
Cameco,22.73,52.22,1.23,down,Canada
East Money Information,22.7,1.44,1.16,up,China
Naturgy,22.67,23.39,0.09,down,Spain
Imperial Brands,22.65,26.53,0.58,down,UK
Zomato,22.61,2.6,5.09,down,India
SBA Communications,22.59,210.26,1.21,down,USA
Techtronic Industries,22.41,12.23,0.42,down,Hong Kong
Yili Group,22.37,3.52,0.2,up,China
FirstEnergy,22.36,38.86,1.67,down,USA
Dollar Tree,22.31,103.83,3.29,down,USA
Alexandria Real Estate Equities,22.22,127.06,0.83,up,USA
Aristocrat,22.14,35.03,3.26,down,Australia
Veolia,22.13,30.93,0.63,down,France
Tyler Technologies,22.11,520.91,0.41,down,USA
PTC,22.09,184.53,0.99,up,USA
Zimmer Biomet,21.91,106.53,1.99,down,USA
Entegris,21.89,145.2,0.52,up,USA
Industries Qatar,21.88,3.62,0.23,down,Qatar
Li Auto,21.85,20.6,3.2,down,China
Ericsson,21.83,6.49,2.84,down,Sweden
Central Japan Railway,21.82,22.18,0.48,down,Japan
Steris,21.79,220.5,0.55,down,Ireland
Pembina Pipeline,21.79,37.52,0.66,down,Canada
Riyad Bank,21.73,7.26,1.87,up,S. Arabia
Mobileye,21.73,26.95,1.85,up,Israel
Nokia,21.71,3.92,1.75,down,Finland
Power Finance Corp,21.7,6.58,1.51,down,India
WiseTech Global,21.7,65.1,1.19,down,Australia
Invitation Homes,21.61,35.28,0.25,down,USA
Sampo,21.53,43.08,1.42,down,Finland
Nornickel,21.51,1.41,1.43,up,Russia
China Minsheng Bank,21.42,0.52,0.27,up,China
Alinma Bank,21.4,8.62,0.47,up,S. Arabia
Pure Storage,21.4,65.81,0.94,up,USA
Sompo Holdings,21.39,21.72,1.71,up,Japan
Ventas,21.3,52.64,0.34,up,USA
POSCO,21.28,69.38,2.84,down,S. Korea
Toyota Tsusho,21.24,20.13,0.73,up,Japan
Weyerhaeuser,21.17,29.04,0.82,down,USA
BOE Technology,21.13,0.57,3.27,up,China
Robinhood,21.03,23.94,7.45,up,USA
The Saudi British Bank,20.99,10.22,0.0,up,S. Arabia
CLP Group,20.96,8.3,0.15,down,Hong Kong
ČEZ Group,20.95,39.04,0.11,down,Czech Republic
ABB India,20.88,98.54,0.23,down,India
Eversource Energy,20.87,59.26,1.79,down,USA
Brown Forman,20.86,44.53,1.0,down,USA
Mitsubishi Estate,20.8,16.5,1.53,down,Japan
Swiss Life,20.79,749.15,0.86,down,Switzerland
Markel,20.78,1598.0,0.01,down,USA
NTT Data,20.75,14.8,0.24,up,Japan
Samsara,20.73,37.65,0.37,up,USA
Steel Dynamics,20.72,131.91,2.08,up,USA
W. R. Berkley,20.71,54.02,1.07,up,USA
GoDaddy,20.68,146.79,1.0,up,USA
PPL,20.63,27.97,1.65,down,USA
United Microelectronics,20.53,8.19,1.56,down,Taiwan
Carlisle Companies,20.51,430.91,0.09,up,USA
Endesa,20.48,19.37,1.2,down,Spain
InterGlobe Aviation,20.48,53.04,1.03,up,India
Tyson Foods,20.46,57.47,0.26,up,USA
Geberit,20.45,614.28,0.11,down,Switzerland
EnBW Energie,20.43,75.44,0.0,up,Germany
Straumann,20.42,128.12,1.67,down,Switzerland
Erste Group Bank,20.37,50.71,0.5,up,Austria
Synchrony,20.36,50.72,3.28,up,USA
Booz Allen Hamilton,20.35,157.22,0.59,down,USA
Corpay,20.35,289.63,1.09,up,USA
BioNTech,20.3,84.25,0.82,down,Germany
Coterra Energy,20.28,27.25,0.55,up,USA
George Weston,20.25,152.39,0.03,down,Canada
Vedanta,20.22,5.45,0.86,down,India
WSP Global,20.21,162.09,0.42,up,Canada
Ambuja Cements,20.2,8.2,0.17,up,India
Principal,20.17,86.08,1.35,up,USA
HeidelbergCement,20.17,110.81,0.49,up,Germany
Leidos,20.14,148.96,0.64,down,USA
Nippon Steel,20.13,21.59,0.93,down,Japan
Hubbell,20.11,374.6,1.54,down,USA
Lennox,20.1,564.44,1.3,up,USA
Rogers Communication,20.06,37.47,0.51,up,Canada
Sungrow Power Supply,20.06,9.68,9.84,up,China
Bank of Ningbo,19.95,3.02,0.99,down,China
Société Générale,19.91,25.3,1.4,down,France
Williams-Sonoma,19.91,154.87,2.35,down,USA
Huntington Bancshares,19.89,13.73,1.4,up,USA
Watsco,19.89,501.5,1.81,up,USA
Talanx,19.87,76.96,2.08,down,Germany
Bank of Jiangsu,19.85,1.08,0.25,down,China
Kaō,19.72,42.42,0.47,down,Japan
LPL Financial,19.71,263.95,0.11,up,USA
LTIMindtree,19.7,66.58,1.54,up,India
Teva Pharmaceutical Industries,19.7,17.08,1.16,down,Israel
MTR Corporation,19.67,3.16,1.0,down,Hong Kong
Genuine Parts Company,19.67,141.23,2.13,up,USA
Aptiv,19.65,72.26,0.63,down,Ireland
CK Hutchison Holdings,19.6,5.12,0.5,down,Hong Kong
Standard Bank Group,19.58,11.82,1.38,down,South Africa
Erie Indemnity,19.58,374.57,1.44,up,USA
McCormick & Company,19.54,72.75,1.82,up,USA
Fortis,19.52,39.51,1.1,down,Canada
Emaar Properties,19.51,2.21,0.12,up,UAE
Rural Electrification Corp,19.47,7.39,2.53,down,India
China Railway Group,19.44,0.52,1.46,down,China
SBI Life Insurance,19.43,19.41,0.49,up,India
Telkom Indonesia,19.41,19.38,1.77,down,Indonesia
Inpex,19.4,15.55,0.82,up,Japan
Ameren,19.4,72.75,1.53,down,USA
Ajinomoto,19.39,38.26,2.53,down,Japan
Itaúsa,19.38,1.88,0.2,up,Brazil
Elm Company,19.34,241.76,0.33,down,S. Arabia
Pidilite,19.33,38.01,0.13,up,India
Cincinnati Financial,19.31,123.26,0.75,up,USA
Borouge,19.31,0.64,0.0,up,UAE
Olympus,19.3,16.56,1.04,down,Japan
PKN Orlen,19.26,16.59,3.33,down,Poland
Kellogg's,19.25,56.32,0.39,down,USA
ADNOC Drilling Company,19.25,1.2,0.45,up,UAE
Panasonic,19.24,8.25,2.54,down,Japan
Regions Financial,19.23,21.0,2.59,up,USA
East Japan Railway,19.18,16.96,0.57,down,Japan
PKO Bank Polski,19.18,15.35,1.73,down,Poland
Shinhan Financial Group,19.17,37.13,1.38,down,S. Korea
AerCap,19.16,96.65,0.86,up,Ireland
Svenska Handelsbanken,19.14,9.63,0.15,down,Sweden
DraftKings,19.13,39.48,4.28,up,USA
Galaxy Entertainment,19.11,4.37,1.16,down,Hong Kong
Z Holdings,19.1,2.55,1.8,down,Japan
Check Point Software,19.09,172.05,0.16,up,Israel
Coca-Cola FEMSA,19.09,86.09,2.29,down,Mexico
Lasertec,19.01,210.86,0.3,down,Japan
Unicharm,19.01,32.42,3.09,down,Japan
Chongqing Changan,19.0,2.2,4.04,up,China
Sany Heavy Industry,18.98,2.24,0.18,down,China
Ball Corporation,18.96,61.11,0.51,up,USA
China Tourism Group Duty Free,18.93,9.29,0.88,up,China
Texas Pacific Land Trust,18.91,822.77,2.68,up,USA
Prysmian Group,18.89,67.48,0.72,up,Italy
ULTA Beauty,18.85,395.16,4.31,down,USA
Polyus,18.84,138.68,0.82,up,Russia
SM Prime Holdings,18.82,0.59,9.56,up,Philippines
Westlake Chemical,18.81,146.36,0.2,down,USA
Ems-Chemie,18.8,803.86,1.69,up,Switzerland
Naver,18.77,124.15,2.67,down,S. Korea
KE Holdings,18.77,14.75,5.63,down,China
Power Corporation of Canada,18.75,29.09,0.2,down,Canada
Astellas Pharma,18.73,10.45,0.12,down,Japan
Teledyne,18.72,394.87,0.19,up,USA
LG Chem,18.72,247.08,4.87,down,S. Korea
Formosa Petrochemical,18.71,1.96,0.0,up,Taiwan
